Arrival time     Burst time     Priorities     
0                  12                  3                  
1                  12                  2                  
10                  12                  2                  
10                  12                  2                  
10                  12                  2                  
9                  12                  2                  
9                  20                  10                  
9                  20                  10                  
5                  20                  10                  
5                  20                  10                  
5                  20                  10                  
2                  7                  7                  
2                  7                  7                  
2                  7                  7                  
2                  7                  7                  
2                  7                  7                  
2                  7                  7                  
1                  15                  5                  
1                  15                  5                  
1                  15                  5                  
1                  15                  5                  
1                  15                  5                  
1                  15                  9                  
4                  9                  9                  
4                  9                  9                  
4                  9                  9                  
4                  9                  9                  
4                  9                  9                  
2                  6                  6                  
2                  6                  6                  
2                  6                  6                  
2                  6                  6                  
2                  6                  6                  
2                  6                  2                  
1                  12                  2                  
1                  12                  2                  
1                  12                  2                  
1                  12                  2                  
1                  12                  4                  
8                  12                  4                  
8                  14                  4                  
8                  14                  4                  
8                  14                  4                  
8                  14                  3                  
8                  14                  3                  
10                  3                  3                  
10                  3                  3                  
10                  3                  3                  
10                  3                  3                  
10                  3                  2                  
